time,x,y,z
2.496,-6.624700399,-11.13208661,15.25471393
2.498,-6.715412637,-11.27924644,15.32265962
2.5,-6.807253435,-11.42748782,15.39427615
2.502,-6.90022137,-11.57676068,15.46963809
2.504,-6.994314022,-11.72701143,15.54882048
2.506,-7.089527924,-11.87818279,15.63189869
2.508,-7.185858502,-12.03021372,15.71894823
2.51,-7.283300025,-12.18303925,15.81004471
2.512,-7.38184555,-12.33659034,15.90526374
2.514,-7.481486861,-12.49079375,16.00468077
2.516,-7.582214416,-12.64557193,16.10837088
2.518,-7.684017282,-12.80084296,16.21640861
2.52,-7.786883074,-12.95652032,16.32886786
2.522,-7.890797889,-13.11251277,16.44582173
2.524,-7.995746245,-13.26872428,16.56734225
2.526,-8.101711029,-13.42505399,16.69350013
2.528,-8.208673411,-13.58139601,16.82436463
2.53,-8.316612784,-13.73763927,16.96000332
2.532,-8.425506692,-13.89366748,17.10048186
2.534,-8.535330779,-14.0493591,17.24586365
2.536,-8.646058714,-14.20458728,17.39620957
2.538,-8.757662119,-14.3592197,17.55157778
2.54,-8.8701105,-14.51311855,17.71202336
2.542,-8.983371188,-14.66614052,17.87759803
2.544,-9.097409267,-14.81813671,18.04834986
2.546,-9.212187499,-14.9689526,18.22432286
2.548,-9.327666276,-15.11842817,18.40555673
2.55,-9.44380356,-15.26639789,18.59208638
2.552,-9.5605548,-15.41269068,18.78394169
2.554,-9.677872877,-15.55712997,18.98114704
2.556,-9.79570808,-15.69953394,19.18372101
2.558,-9.91400802,-15.83971546,19.39167595
2.56,-10.03271757,-15.97748222,19.60501752
2.562,-10.15177886,-16.11263698,19.82374439
2.564,-10.27113122,-16.24497777,20.04784779
2.566,-10.39071111,-16.37429797,20.27731104
2.568,-10.5104521,-16.50038657,20.51210919
2.57,-10.63028491,-16.62302862,20.75220865
2.572,-10.75013732,-16.74200536,20.99756671
2.574,-10.86993413,-16.85709457,21.24813111
2.576,-10.98959723,-16.96807097,21.50383968
2.578,-11.1090456,-17.07470671,21.76462007
2.58,-11.22819524,-17.17677168,22.03038915
2.582,-11.34695924,-17.27403399,22.3010527
2.584,-11.46524785,-17.36626062,22.57650527
2.586,-11.58296845,-17.45321787,22.85662967
2.588,-11.70002561,-17.53467189,23.1412966
2.59,-11.81632116,-17.61038941,23.43036449
2.592,-11.93175432,-17.68013836,23.72367945
2.594,-12.04622168,-17.74368852,24.02107469
2.596,-12.15961733,-17.8008123,24.32237041
2.598,-12.27183303,-17.85128541,24.62737404
2.6,-12.38275825,-17.89488769,24.93587981
2.602,-12.49228036,-17.93140398,25.24766867
2.604,-12.6002847,-17.96062483,25.56250844
2.606,-12.70665488,-17.98234731,25.8801541
2.608,-12.81127281,-17.99637608,26.20034745
2.61,-12.91401897,-18.00252416,26.52281745
2.612,-13.01477259,-18.00061368,26.84728073
2.614,-13.11341188,-17.9904769,27.17344165
2.616,-13.20981422,-17.9719572,27.5009926
2.618,-13.30385648,-17.94490991,27.82961454
2.62,-13.39541518,-17.90920289,28.15897766
2.622,-13.48436683,-17.8647177,28.48874183
2.624,-13.57058819,-17.81135032,28.8185572
2.626,-13.65395652,-17.749012,29.14806491
2.628,-13.73434994,-17.67763011,29.4768979
2.63,-13.81164769,-17.59714867,29.80468179
2.632,-13.88573047,-17.50752902,30.13103583
2.634,-13.95648077,-17.40875072,30.45557381
2.636,-14.02378317,-17.30081178,30.77790509
2.638,-14.08752467,-17.18372935,31.09763569
2.64,-14.14759509,-17.0575402,31.41436949
2.642,-14.20388731,-16.92230085,31.7277093
2.644,-14.25629766,-16.77808799,32.03725817
2.646,-14.30472626,-16.62499874,32.34262068
2.648,-14.34907732,-16.4631505,32.64340405
2.65,-14.38925947,-16.29268115,32.93921958
2.652,-14.42518611,-16.11374897,33.22968399
2.654,-14.45677564,-15.92653223,33.51442051
2.656,-14.48395184,-15.73122915,33.79306045
2.658,-14.50664414,-15.52805739,34.06524441
2.66,-14.52478779,-15.31725351,34.33062331
2.662,-14.53832426,-15.0990725,34.58886005
2.664,-14.54720139,-14.87378704,34.83963041
2.666,-14.55137359,-14.64168671,35.08262418
2.668,-14.55080211,-14.40307714,35.31754654
2.67,-14.54545514,-14.15827908,35.54411879
2.672,-14.53530801,-13.90762736,35.76207938
2.674,-14.5203433,-13.65146975,35.97118503
2.676,-14.50055093,-13.39016589,36.17121115
2.678,-14.47592824,-13.12408598,36.3619528
2.68,-14.44648008,-12.85360944,36.54322537
2.682,-14.41221876,-12.57912384,36.71486482
2.684,-14.37316412,-12.30102328,36.87672834
2.686,-14.32934346,-12.01970703,37.02869464
2.688,-14.28079146,-11.7355784,37.170664
2.69,-14.22755015,-11.44904301,37.30255856
2.692,-14.16966877,-11.16050745,37.42432227
2.694,-14.10720364,-10.87037813,37.53592071
2.696,-14.04021797,-10.57905969,37.63734094
2.698,-13.96878173,-10.28695367,37.72859121
2.7,-13.89297141,-9.994457206,37.80970057
2.702,-13.81286979,-9.701961771,37.88071834
2.704,-13.72856569,-9.409852044,37.94171357
2.706,-13.64015372,-9.118504617,37.99277431
2.708,-13.54773399,-8.828287027,38.034007
2.71,-13.45141179,-8.539556611,38.06553555
2.712,-13.3512973,-8.25265966,38.08750057
2.714,-13.24750526,-7.967930487,38.10005841
2.716,-13.14015464,-7.685690637,38.1033802
2.718,-13.02936827,-7.406248217,38.09765089
2.72,-12.91527252,-7.129897206,38.08306816
2.722,-12.79799694,-6.856916978,38.05984145
2.724,-12.67767389,-6.587571802,38.02819079
