"time","firstOrder.y","der(firstOrder.y)","firstOrder.u","step.y"
0,2,-6.666666666666666,0,0
0.02,1.871009346064803,-6.236697820216009,0,0
0.04,1.750342711512787,-5.834475705042621,0,0
0.06,1.637457239056334,-5.458190796854446,0,0
0.08,1.531853092806857,-5.106176976022857,0,0
0.1,1.433058929189649,-4.77686309729883,0,0
0.12,1.340636508137182,-4.468788360457272,0,0
0.14,1.25417490679721,-4.180583022657366,0,0
0.16,1.173289351148894,-3.910964503829646,0,0
0.18,1.097620301321212,-3.658734337737374,0,0
0.2,1.0268314012031,-3.422771337343668,0,0
0.22,0.9606079029671823,-3.202026343223941,0,0
0.24,0.8986553368695138,-2.995517789565046,0,0
0.26,0.8406980172982762,-2.802326724327587,0,0
0.28,0.7864786733804624,-2.621595577934874,0,0
0.3,0.7357563977013925,-2.452521325671308,0,0
0.32,0.6883054868819821,-2.29435162293994,0,0
0.34,0.6439147329154394,-2.146382443051464,0,0
0.36,0.6023867627790503,-2.007955875930167,0,0
0.38,0.5635370741769138,-1.878456913923046,0,0
0.4,0.5271928906893349,-1.757309635631116,0,0
0.42,0.4931926223822046,-1.643975407940682,0,0
0.44,0.4613851148925178,-1.537950382975059,0,0
0.46,0.4316289826128715,-1.438763275376238,0,0
0.48,0.4037918958288014,-1.345972986096004,0,0
0.5,0.3777501643028977,-1.259167214342992,0,0
0.52,0.3533880375819881,-1.177960125273294,0,0
0.54,0.3305971679613695,-1.101990559871231,0,0
0.5600000000000001,0.3092760890020605,-1.030920296673535,0,0
0.58,0.2893301210924736,-0.9644337369749121,0,0
0.6,0.2706704940728623,-0.9022349802428741,0,0
0.62,0.2532142690136618,-0.8440475633788728,0,0
0.64,0.2368838265567541,-0.7896127551891804,0,0
0.66,0.2216065653889659,-0.738688551296553,0,0
0.68,0.2073145995834693,-0.6910486652782311,0,0
0.7,0.193944340586009,-0.6464811352866966,0,0
0.72,0.181436388852373,-0.6047879628412434,0,0
0.74,0.1697350959598671,-0.5657836531995569,0,0
0.76,0.1587884551639242,-0.529294850546414,0,0
0.78,0.1485477913892462,-0.4951593046308206,0,0
0.8,0.1389675620479931,-0.4632252068266437,0,0
0.82,0.1300051988801265,-0.433350662933755,0,0
0.84,0.1216208264044608,-0.4054027546815359,0,0
0.86,0.1137771933549571,-0.3792573111831903,0,0
0.88,0.1064394099564618,-0.354798033188206,0,0
0.9,0.09957486086925291,-0.3319162028975097,0,0
0.92,0.09315302884537466,-0.3105100961512489,0,0
0.9399999999999999,0.08714534989928042,-0.290484499664268,0,0
0.96,0.08152513123716799,-0.2717504374572266,0,0
0.98,0.0762673658262933,-0.254224552754311,0,0
1,0.07134869251437227,-0.2378289750479076,0,0
1.02,0.06674723310422677,-0.2224907770140892,0,0
1.04,0.0624425327853514,-0.2081417759511713,0,0
1.06,0.05841545763589909,-0.1947181921196636,0,0
1.08,0.05464809357112064,-0.1821603119037354,0,0
1.1,0.05112370247815378,-0.1704123415938459,0,0
1.12,0.04782660339448223,-0.1594220113149407,0,0
1.14,0.04474214580831152,-0.149140486027705,0,0
1.16,0.0418566111437439,-0.139522037145813,0,0
1.18,0.03915717056868104,-0.1305239018956035,0,0
1.2,0.03663182737951485,-0.1221060912650495,0,0
1.22,0.03426934610135181,-0.1142311536711727,0,0
1.24,0.03205923077017849,-0.1068641025672616,0,0
1.26,0.02999164853132409,-0.09997216177108029,0,0
1.28,0.02805741153116994,-0.09352470510389981,0,0
1.3,0.02624791795580649,-0.08749305985268829,0,0
1.32,0.02455512188391037,-0.08185040627970122,0,0
1.34,0.0229715013527426,-0.07657167117580868,0,0
1.36,0.02149000989999152,-0.07163336633330505,0,0
1.38,0.02010406568373345,-0.0670135522791115,0,0
1.4,0.0188075028978324,-0.062691676326108,0,0
1.42,0.01759455944833935,-0.0586485314944645,0,0
1.44,0.01645984186930999,-0.05486613956436664,0,0
1.46,0.01539830409703944,-0.05132768032346478,0,0
1.48,0.01440522935493341,-0.04801743118311135,0,0
1.5,0.01347619892832866,-0.04492066309442887,0,0
1.52,0.01260708525773557,-0.04202361752578523,0,0
1.54,0.01179402452321025,-0.03931341507736751,0,0
1.56,0.0110334114043244,-0.03677803801441466,0,0
1.58,0.01032186766962644,-0.03440622556542145,0,0
1.6,0.00965623154899729,-0.03218743849665763,0,0
1.62,0.009033540243651838,-0.03011180081217279,0,0
1.64,0.008451008532198203,-0.02817002844066067,0,0
1.66,0.007906013127089986,-0.02635337709029995,0,0
1.68,0.00739620146407855,-0.02465400488026183,0,0
1.7,0.006919273776490468,-0.02306424592163489,0,0
1.72,0.006473097113392251,-0.02157699037797417,0,0
1.74,0.006055704184900491,-0.02018568061633497,0,0
1.76,0.005665228478859738,-0.01888409492953246,0,0
1.78,0.005299912352951177,-0.01766637450983726,0,0
1.8,0.004958155120456528,-0.01652718373485509,0,0
1.82,0.00463844549146855,-0.01546148497156183,0,0
1.84,0.004339343572541129,-0.0144644785751371,0,0
1.86,0.004059527344512905,-0.01353175781504302,0,0
1.88,0.003797763314717688,-0.01265921104905896,0,0
1.9,0.00355287220442742,-0.0118429073480914,0,0
1.92,0.003323767664723965,-0.01107922554907988,0,0
1.94,0.003109448534727653,-0.01036482844909217,0,0
1.96,0.002908946074852215,-0.009696486916174049,0,0
1.98,0.002721366558073644,-0.00907122186024548,0,0
2,0.00254589380569614,-0.008486312685653799,0,0
2.02,0.002381733465445599,-0.007939111551485328,0,0
2.04,0.002228150668318716,-0.00742716889439572,0,0
2.06,0.002084480805593978,-0.006948269351979926,0,0
